시도,2020 시도별 인구,1차 누적 접종수,2차 누적 접종수,3차 누적 접종수,1차 누적 접종률,2차 누적 접종률,3차 누적 접종률,정부 지지율
서울,"9,911,088","7,955,953","7,736,180","794,615",80.27325557,78.05580982,8.017434615,42
부산,"3,438,710","2,730,951","2,643,595","251,543",79.41789217,76.87752093,7.315039651,38
대구,"2,446,144","1,900,800","1,838,724","156,707",77.70597316,75.16826483,6.406286793,21
인천,"3,010,476","2,438,290","2,361,539","220,467",80.99350402,78.44404008,7.323326942,38
광주,"1,471,385","1,193,339","1,150,750","124,158",81.10311033,78.20862657,8.438172198,60
대전,"1,480,777","1,176,866","1,137,943","109,483",79.47624794,76.8476955,7.39361835,42
울산,"1,153,901","910,902","883,593","68,464",78.94108767,76.57442016,5.933264639,38
세종,"360,907","273,276","263,159","25,606",75.71922961,72.91601437,7.094902565,50
경기,"13,807,158","11,188,968","10,853,050","1,046,003",81.03744449,78.60451803,7.575802348,40
강원,"1,560,172","1,282,218","1,242,880","140,076",82.18440018,79.66301151,8.978240861,31
충북,"1,637,897","1,355,078","1,313,487","145,695",82.732797,80.19350423,8.895247992,36
충남,"2,185,575","1,794,108","1,733,928","198,464",82.08860369,79.33509488,9.080630955,35
전북,"1,835,392","1,517,933","1,469,302","187,623",82.70347697,80.05385226,10.22250288,63
전남,"1,884,455","1,578,459","1,527,698","229,015",83.76209567,81.06842562,12.15285056,57
경북,"2,691,891","2,165,013","2,094,437","226,820",80.42721641,77.80541634,8.426046968,19
경남,"3,407,455","2,719,492","2,627,700","266,864",79.81006352,77.1162055,7.831768871,32
제주,"697,578","551,403","532,241","50,846",79.04535407,76.29842111,7.288933997,44